path,ok,reason,blur_score,brightness,width,height,file_size_kb,md5,label,split
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_003e3600c061a59dc809_jpg.rf.0883c212d94c22da47d6b24dd94c3ded.jpg,True,,1656.86,71.12,640,640,40.1,7eca6f47e94a8108cf54b26ea353835e,dry,test
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_003e3600c061a59dc809_jpg.rf.1c8680aef9e162226ede0a13fe4c2fe9.jpg,True,,852.9,115.38,640,640,32.6,1177a389277544880f4e9540f0617a67,dry,train
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_003e3600c061a59dc809_jpg.rf.ecd13783f4c1dd953cf5d240d880b810.jpg,True,,121.15,80.0,640,640,27.8,111f2b5b26fe4ab86e13db848a9f3e87,dry,val
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_00f1189752d6631b2b22_jpg.rf.45c54ee5358dc0f7e8fd5a39f7b3231a.jpg,True,,3121.32,94.2,640,640,54.2,c3d150c06ba65cd144e5fa3ea1b84223,dry,train
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_00f1189752d6631b2b22_jpg.rf.76aa1679ba838c9b368632b7ccb63dc0.jpg,True,,2740.5,106.07,640,640,52.0,ed6794403cdd51b3f37b60c120846b18,dry,train
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_00f1189752d6631b2b22_jpg.rf.971d716704bcf6dd3b46212870333b0b.jpg,True,,335.19,102.98,640,640,29.9,6171dff15c19c50269e2502a545d179c,dry,train
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_01a2f56b5d6099d2a71a_jpg.rf.f209155b50d6ffa91f31f801cc6ba21e.jpg,True,,118.56,133.67,640,640,33.9,d0cbd65abb66eb561bc23cc1c3a639e7,dry,val
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_01e4cad5778a56f9fd14_jpg.rf.10e49585f824fbe07fdfb2494040c228.jpg,True,,805.04,86.46,640,640,38.4,a3919d82260fc6835c0273cad99e6a42,dry,test
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_020920254e34efeff0f5_jpg.rf.28cfa61215bff35ed696dabdc9df585a.jpg,True,,243.16,132.18,640,640,26.6,6243c31de3026ecdd67eea5158686161,dry,train
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_032318cbaebf6428c00d_jpg.rf.123544c8881041b7a332e8822f0f7935.jpg,True,,1754.3,154.56,640,640,48.1,ec986410e50f89d68c66d2b39658f868,dry,train
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_032318cbaebf6428c00d_jpg.rf.3a3412edd80eeb5187867ed80b90003b.jpg,True,,221.99,132.57,640,640,36.2,1832d3691920220cd1958637d0c13138,dry,train
C:\Users\DENİZ\Desktop\BİTİRME\skin-analysis\data\raw\skin_type\dry\dry_032318cbaebf6428c00d_jpg.rf.5477a3d0e049e9f089554ee223ea4606.jpg,True,,651.01,135.69,640,640,38.8,81a2888ececce3e06bf5724d91fbd2e2,dry,train
